Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 2.0,FPN 2.0,Albania,ALB,2017,YR2017,0.725,2.471,3.952,5.45,0.911,0.707,0.599,1.204,0.441,0.089,0.231,0.179,0.152,0.305,0.112,0.023,1.52,1.18,2.01,0.74,0.15,0.647,2.206,3.529,0.078,0.266,0.425,0,8.9,31.3,0,0.3,0.9,2873457
Food Prices for Nutrition 2.0,FPN 2.0,Albania,ALB,2018,YR2018,..,..,4.069,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.633,..,..,..,..,..,23,..,..,0.7,2866376
Food Prices for Nutrition 2.0,FPN 2.0,Albania,ALB,2019,YR2019,..,..,4.262,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.805,..,..,..,..,..,22.2,..,..,0.6,2854191
Food Prices for Nutrition 2.0,FPN 2.0,Albania,ALB,2020,YR2020,..,..,4.28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.821,..,..,..,..,..,19.9,..,..,0.6,2837849
Food Prices for Nutrition 2.0,FPN 2.0,Albania,ALB,2021,YR2021,..,..,4.388,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.918,..,..,..,..,..,15.9,..,..,0.4,2811666
Food Prices for Nutrition 2.0,FPN 2.0,Algeria,DZA,2017,YR2017,0.773,2.323,3.763,4.87,0.979,0.699,0.496,0.964,0.493,0.132,0.26,0.186,0.132,0.256,0.131,0.035,1.97,1.41,1.94,0.99,0.27,0.69,2.074,3.36,0.124,0.374,0.605,0.1,6.2,32.5,0.1,2.6,13.4,41136546
Food Prices for Nutrition 2.0,FPN 2.0,Algeria,DZA,2018,YR2018,..,..,3.822,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.413,..,..,..,..,..,31.2,..,..,13.1,41927007
Food Prices for Nutrition 2.0,FPN 2.0,Algeria,DZA,2019,YR2019,..,..,3.796,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.389,..,..,..,..,..,29.2,..,..,12.5,42705368
Food Prices for Nutrition 2.0,FPN 2.0,Algeria,DZA,2020,YR2020,..,..,3.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.357,..,..,..,..,..,31.1,..,..,13.5,43451666
Food Prices for Nutrition 2.0,FPN 2.0,Algeria,DZA,2021,YR2021,..,..,4.043,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.61,..,..,..,..,..,32.4,..,..,14.3,44177969
Food Prices for Nutrition 2.0,FPN 2.0,Angola,AGO,2017,YR2017,1.403,3.231,4.327,3.08,0.717,1.199,0.839,1.011,0.395,0.166,0.166,0.277,0.194,0.234,0.091,0.038,0.85,1.43,1.21,0.47,0.2,1.253,2.885,3.863,0.315,0.726,0.972,36,71.1,81.4,10.9,21.5,24.6,30208628
Food Prices for Nutrition 2.0,FPN 2.0,Angola,AGO,2018,YR2018,..,..,4.293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.833,..,..,..,..,..,82.7,..,..,25.8,31273533
Food Prices for Nutrition 2.0,FPN 2.0,Angola,AGO,2019,YR2019,..,..,4.352,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.886,..,..,..,..,..,83.9,..,..,27.1,32353588
Food Prices for Nutrition 2.0,FPN 2.0,Angola,AGO,2020,YR2020,..,..,4.585,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.094,..,..,..,..,..,86.7,..,..,29,33428486
Food Prices for Nutrition 2.0,FPN 2.0,Angola,AGO,2021,YR2021,..,..,5.031,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.492,..,..,..,..,..,88.1,..,..,30.4,34503774
Food Prices for Nutrition 2.0,FPN 2.0,Anguilla,AIA,2017,YR2017,1.308,2.433,3.717,2.84,0.811,1.019,0.778,0.647,0.328,0.134,0.218,0.274,0.209,0.174,0.088,0.036,1.04,1.31,0.83,0.42,0.17,1.168,2.172,3.319,0.203,0.378,0.577,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Anguilla,AIA,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Anguilla,AIA,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Anguilla,AIA,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Anguilla,AIA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Antigua and Barbuda,ATG,2017,YR2017,0.933,3.017,4.112,4.41,1.003,1.279,0.604,0.682,0.429,0.115,0.244,0.311,0.147,0.166,0.104,0.028,1.66,2.12,1.13,0.71,0.19,0.833,2.694,3.671,0.174,0.563,0.767,..,..,..,..,..,..,91119
Food Prices for Nutrition 2.0,FPN 2.0,Antigua and Barbuda,ATG,2018,YR2018,..,..,4.302,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.841,..,..,..,..,..,..,..,..,..,91626
Food Prices for Nutrition 2.0,FPN 2.0,Antigua and Barbuda,ATG,2019,YR2019,..,..,4.391,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.921,..,..,..,..,..,..,..,..,..,92117
Food Prices for Nutrition 2.0,FPN 2.0,Antigua and Barbuda,ATG,2020,YR2020,..,..,4.504,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.021,..,..,..,..,..,..,..,..,..,92664
Food Prices for Nutrition 2.0,FPN 2.0,Antigua and Barbuda,ATG,2021,YR2021,..,..,4.684,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.182,..,..,..,..,..,..,..,..,..,93219
Food Prices for Nutrition 2.0,FPN 2.0,Argentina,ARG,2017,YR2017,0.652,2.625,3.341,5.12,0.733,0.703,0.463,0.669,0.656,0.117,0.219,0.21,0.139,0.2,0.196,0.035,1.58,1.52,1.44,1.42,0.25,0.582,2.344,2.983,0.077,0.31,0.395,0.2,4,6.8,0.1,1.8,3,44044811
Food Prices for Nutrition 2.0,FPN 2.0,Argentina,ARG,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44494502
Food Prices for Nutrition 2.0,FPN 2.0,Argentina,ARG,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44938712
Food Prices for Nutrition 2.0,FPN 2.0,Argentina,ARG,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45376763
Food Prices for Nutrition 2.0,FPN 2.0,Argentina,ARG,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45808747
Food Prices for Nutrition 2.0,FPN 2.0,Armenia,ARM,2017,YR2017,1.013,2.208,3.096,3.06,0.488,0.433,0.537,0.973,0.541,0.123,0.158,0.14,0.173,0.314,0.175,0.04,0.91,0.81,1.81,1.01,0.23,0.904,1.971,2.764,0.088,0.192,0.27,0.5,14.3,37.1,0,0.4,1.1,2851923
Food Prices for Nutrition 2.0,FPN 2.0,Armenia,ARM,2018,YR2018,..,..,3.166,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.827,..,..,..,..,..,37.9,..,..,1.1,2836557
Food Prices for Nutrition 2.0,FPN 2.0,Armenia,ARM,2019,YR2019,..,..,3.237,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.89,..,..,..,..,..,40,..,..,1.1,2820602
Food Prices for Nutrition 2.0,FPN 2.0,Armenia,ARM,2020,YR2020,..,..,3.247,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.899,..,..,..,..,..,39,..,..,1.1,2805608
Food Prices for Nutrition 2.0,FPN 2.0,Armenia,ARM,2021,YR2021,..,..,3.527,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.149,..,..,..,..,..,41.4,..,..,1.2,2790974
Food Prices for Nutrition 2.0,FPN 2.0,Aruba,ABW,2017,YR2017,1.13,2.835,3.418,3.02,0.475,0.907,0.797,0.718,0.407,0.115,0.139,0.265,0.233,0.21,0.119,0.034,0.6,1.14,0.9,0.51,0.14,1.009,2.531,3.052,0.239,0.6,0.723,..,..,..,..,..,..,105439
Food Prices for Nutrition 2.0,FPN 2.0,Aruba,ABW,2018,YR2018,..,..,3.62,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.232,..,..,..,..,..,..,..,..,..,105962
Food Prices for Nutrition 2.0,FPN 2.0,Aruba,ABW,2019,YR2019,..,..,3.907,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.488,..,..,..,..,..,..,..,..,..,106442
Food Prices for Nutrition 2.0,FPN 2.0,Aruba,ABW,2020,YR2020,..,..,4.007,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.578,..,..,..,..,..,..,..,..,..,106585
Food Prices for Nutrition 2.0,FPN 2.0,Aruba,ABW,2021,YR2021,..,..,4.116,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.675,..,..,..,..,..,..,..,..,..,106537
Food Prices for Nutrition 2.0,FPN 2.0,Australia,AUS,2017,YR2017,0.307,1.595,2.259,7.36,0.667,0.597,0.221,0.458,0.249,0.067,0.295,0.264,0.098,0.203,0.11,0.03,3.02,2.7,2.07,1.13,0.3,0.274,1.424,2.017,0.045,0.235,0.333,0.2,0.5,0.7,0.1,0.1,0.2,24594202
Food Prices for Nutrition 2.0,FPN 2.0,Australia,AUS,2018,YR2018,..,..,2.283,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.038,..,..,..,..,..,0.7,..,..,0.2,24966643
Food Prices for Nutrition 2.0,FPN 2.0,Australia,AUS,2019,YR2019,..,..,2.296,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.05,..,..,..,..,..,0.7,..,..,0.2,25340217
Food Prices for Nutrition 2.0,FPN 2.0,Australia,AUS,2020,YR2020,..,..,2.389,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.133,..,..,..,..,..,0.7,..,..,0.2,25655289
Food Prices for Nutrition 2.0,FPN 2.0,Australia,AUS,2021,YR2021,..,..,2.437,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.176,..,..,..,..,..,0.7,..,..,0.2,25688079
Food Prices for Nutrition 2.0,FPN 2.0,Austria,AUT,2017,YR2017,0.346,2.256,2.772,8.01,0.819,0.698,0.229,0.612,0.36,0.055,0.295,0.252,0.083,0.221,0.13,0.02,3.58,3.05,2.67,1.57,0.24,0.309,2.014,2.475,0.049,0.318,0.39,0.2,0.5,0.6,0,0,0.1,8797566
Food Prices for Nutrition 2.0,FPN 2.0,Austria,AUT,2018,YR2018,..,..,2.848,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.543,..,..,..,..,..,0.8,..,..,0.1,8840521
Food Prices for Nutrition 2.0,FPN 2.0,Austria,AUT,2019,YR2019,..,..,2.915,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.603,..,..,..,..,..,0.8,..,..,0.1,8879920
Food Prices for Nutrition 2.0,FPN 2.0,Austria,AUT,2020,YR2020,..,..,3.004,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.682,..,..,..,..,..,1,..,..,0.1,8916864
Food Prices for Nutrition 2.0,FPN 2.0,Austria,AUT,2021,YR2021,..,..,3.027,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.703,..,..,..,..,..,0.9,..,..,0.1,8955797
Food Prices for Nutrition 2.0,FPN 2.0,Azerbaijan,AZE,2017,YR2017,0.789,1.836,2.348,2.98,0.26,0.317,0.448,0.729,0.463,0.132,0.111,0.135,0.191,0.31,0.197,0.056,0.58,0.71,1.63,1.03,0.29,0.704,1.639,2.096,0.097,0.225,0.288,0,0,0,0,0,0,9854033
Food Prices for Nutrition 2.0,FPN 2.0,Azerbaijan,AZE,2018,YR2018,..,..,2.399,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.142,..,..,..,..,..,0,..,..,0,9939771
Food Prices for Nutrition 2.0,FPN 2.0,Azerbaijan,AZE,2019,YR2019,..,..,2.459,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.196,..,..,..,..,..,0,..,..,0,10024283
Food Prices for Nutrition 2.0,FPN 2.0,Azerbaijan,AZE,2020,YR2020,..,..,2.533,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.262,..,..,..,..,..,0,..,..,0,10093121
Food Prices for Nutrition 2.0,FPN 2.0,Azerbaijan,AZE,2021,YR2021,..,..,2.69,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.402,..,..,..,..,..,0,..,..,0,10137750
Food Prices for Nutrition 2.0,FPN 2.0,"Bahamas, The",BHS,2017,YR2017,1.049,4.683,4.276,4.08,1.03,0.716,0.574,0.848,0.656,0.453,0.241,0.167,0.134,0.198,0.153,0.106,1.79,1.25,1.48,1.14,0.79,0.937,4.181,3.818,0.169,0.755,0.69,..,..,..,..,..,..,399020
Food Prices for Nutrition 2.0,FPN 2.0,"Bahamas, The",BHS,2018,YR2018,..,..,4.387,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.917,..,..,..,..,..,..,..,..,..,401906
Food Prices for Nutrition 2.0,FPN 2.0,"Bahamas, The",BHS,2019,YR2019,..,..,4.364,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.896,..,..,..,..,..,..,..,..,..,404557
Food Prices for Nutrition 2.0,FPN 2.0,"Bahamas, The",BHS,2020,YR2020,..,..,4.488,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.007,..,..,..,..,..,..,..,..,..,406471
Food Prices for Nutrition 2.0,FPN 2.0,"Bahamas, The",BHS,2021,YR2021,..,..,4.661,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.162,..,..,..,..,..,..,..,..,..,407906
Food Prices for Nutrition 2.0,FPN 2.0,Bahrain,BHR,2017,YR2017,0.792,2.829,3.379,4.27,0.474,0.688,0.653,1.006,0.373,0.185,0.14,0.204,0.193,0.298,0.11,0.055,0.73,1.05,1.54,0.57,0.28,0.707,2.526,3.017,0.115,0.412,0.492,..,..,..,..,..,..,1456834
Food Prices for Nutrition 2.0,FPN 2.0,Bahrain,BHR,2018,YR2018,..,..,3.463,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.092,..,..,..,..,..,..,..,..,..,1487340
Food Prices for Nutrition 2.0,FPN 2.0,Bahrain,BHR,2019,YR2019,..,..,3.573,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.19,..,..,..,..,..,..,..,..,..,1494188
Food Prices for Nutrition 2.0,FPN 2.0,Bahrain,BHR,2020,YR2020,..,..,3.835,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.424,..,..,..,..,..,..,..,..,..,1477469
Food Prices for Nutrition 2.0,FPN 2.0,Bahrain,BHR,2021,YR2021,..,..,4.036,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.604,..,..,..,..,..,..,..,..,..,1463265
Food Prices for Nutrition 2.0,FPN 2.0,Bangladesh,BGD,2017,YR2017,0.644,1.947,2.882,4.48,0.559,0.477,0.359,1.143,0.227,0.118,0.194,0.166,0.125,0.397,0.079,0.041,1.56,1.33,3.18,0.63,0.33,0.575,1.738,2.573,0.145,0.438,0.648,0.6,48.6,75.3,1,78.6,121.8,161793964
Food Prices for Nutrition 2.0,FPN 2.0,Bangladesh,BGD,2018,YR2018,..,..,2.971,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.653,..,..,..,..,..,72.5,..,..,118.7,163683958
Food Prices for Nutrition 2.0,FPN 2.0,Bangladesh,BGD,2019,YR2019,..,..,3.024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7,..,..,..,..,..,70.8,..,..,117.1,165516222
Food Prices for Nutrition 2.0,FPN 2.0,Bangladesh,BGD,2020,YR2020,..,..,3.064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.736,..,..,..,..,..,68.7,..,..,115,167420951
Food Prices for Nutrition 2.0,FPN 2.0,Bangladesh,BGD,2021,YR2021,..,..,3.201,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.858,..,..,..,..,..,66.1,..,..,111.9,169356251
Food Prices for Nutrition 2.0,FPN 2.0,Barbados,BRB,2017,YR2017,0.896,2.226,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,1.988,..,0.218,0.542,..,..,..,..,..,..,..,279187
Food Prices for Nutrition 2.0,FPN 2.0,Barbados,BRB,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Barbados,BRB,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Barbados,BRB,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Barbados,BRB,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Belarus,BLR,2017,YR2017,0.8,2.161,3.177,3.97,0.678,0.349,0.506,0.826,0.643,0.174,0.213,0.11,0.159,0.26,0.202,0.055,1.34,0.69,1.63,1.27,0.34,0.714,1.929,2.837,0.095,0.257,0.378,0,0.2,2.1,0,0,0.2,9458989
Food Prices for Nutrition 2.0,FPN 2.0,Belarus,BLR,2018,YR2018,..,..,3.228,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.882,..,..,..,..,..,1.1,..,..,0.1,9438785
Food Prices for Nutrition 2.0,FPN 2.0,Belarus,BLR,2019,YR2019,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.955,..,..,..,..,..,1.4,..,..,0.1,9419758
Food Prices for Nutrition 2.0,FPN 2.0,Belarus,BLR,2020,YR2020,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.955,..,..,..,..,..,0.7,..,..,0.1,9379952
Food Prices for Nutrition 2.0,FPN 2.0,Belarus,BLR,2021,YR2021,..,..,3.471,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.099,..,..,..,..,..,0.5,..,..,0,9340314
Food Prices for Nutrition 2.0,FPN 2.0,Belgium,BEL,2017,YR2017,0.263,2.406,2.862,10.88,0.79,0.677,0.222,0.745,0.369,0.06,0.276,0.237,0.078,0.26,0.129,0.021,3.56,3.05,3.36,1.66,0.27,0.235,2.148,2.555,0.032,0.291,0.347,0.1,0.3,0.3,0,0,0,11375158
Food Prices for Nutrition 2.0,FPN 2.0,Belgium,BEL,2018,YR2018,..,..,2.962,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.645,..,..,..,..,..,0.2,..,..,0,11427054
Food Prices for Nutrition 2.0,FPN 2.0,Belgium,BEL,2019,YR2019,..,..,3.047,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.721,..,..,..,..,..,0.2,..,..,0,11488980
Food Prices for Nutrition 2.0,FPN 2.0,Belgium,BEL,2020,YR2020,..,..,3.159,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.821,..,..,..,..,..,0.2,..,..,0,11538604
Food Prices for Nutrition 2.0,FPN 2.0,Belgium,BEL,2021,YR2021,..,..,3.125,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.79,..,..,..,..,..,0.1,..,..,0,11592952
Food Prices for Nutrition 2.0,FPN 2.0,Belize,BLZ,2017,YR2017,1.13,2.803,2.476,2.19,0.162,0.805,0.38,0.776,0.224,0.129,0.065,0.325,0.153,0.313,0.09,0.052,0.43,2.12,2.04,0.59,0.34,1.009,2.503,2.211,0.461,1.143,1.009,19.6,57,50.9,0.1,0.2,0.2,374693
Food Prices for Nutrition 2.0,FPN 2.0,Belize,BLZ,2018,YR2018,..,..,2.517,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.247,..,..,..,..,..,50.7,..,..,0.2,382066
Food Prices for Nutrition 2.0,FPN 2.0,Belize,BLZ,2019,YR2019,..,..,2.574,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.298,..,..,..,..,..,49.4,..,..,0.2,389095
Food Prices for Nutrition 2.0,FPN 2.0,Belize,BLZ,2020,YR2020,..,..,2.632,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.35,..,..,..,..,..,57,..,..,0.2,394921
Food Prices for Nutrition 2.0,FPN 2.0,Belize,BLZ,2021,YR2021,..,..,2.797,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.497,..,..,..,..,..,53,..,..,0.2,400031
Food Prices for Nutrition 2.0,FPN 2.0,Benin,BEN,2017,YR2017,0.652,2.498,3.55,5.44,0.538,1.012,0.41,1.168,0.297,0.125,0.152,0.285,0.115,0.329,0.084,0.035,1.31,2.47,2.85,0.72,0.3,0.582,2.23,3.17,0.316,1.211,1.721,13.7,81.9,90.6,1.6,9.5,10.5,11596779
Food Prices for Nutrition 2.0,FPN 2.0,Benin,BEN,2018,YR2018,..,..,3.67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.277,..,..,..,..,..,86.8,..,..,10.4,11940683
Food Prices for Nutrition 2.0,FPN 2.0,Benin,BEN,2019,YR2019,..,..,3.664,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.271,..,..,..,..,..,82.4,..,..,10.1,12290444
Food Prices for Nutrition 2.0,FPN 2.0,Benin,BEN,2020,YR2020,..,..,3.707,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.31,..,..,..,..,..,82.1,..,..,10.4,12643123
Food Prices for Nutrition 2.0,FPN 2.0,Benin,BEN,2021,YR2021,..,..,4.041,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.608,..,..,..,..,..,82.6,..,..,10.7,12996895
Food Prices for Nutrition 2.0,FPN 2.0,Bermuda,BMU,2017,YR2017,1.099,4.706,4.072,3.71,0.478,1.652,0.743,0.502,0.53,0.165,0.117,0.406,0.182,0.123,0.13,0.041,0.64,2.22,0.68,0.71,0.22,0.981,4.202,3.636,0.104,0.447,0.387,..,..,..,..,..,..,63873
Food Prices for Nutrition 2.0,FPN 2.0,Bermuda,BMU,2018,YR2018,..,..,3.789,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.383,..,..,..,..,..,..,..,..,..,63918
Food Prices for Nutrition 2.0,FPN 2.0,Bermuda,BMU,2019,YR2019,..,..,3.834,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.423,..,..,..,..,..,..,..,..,..,63911
Food Prices for Nutrition 2.0,FPN 2.0,Bermuda,BMU,2020,YR2020,..,..,3.718,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.32,..,..,..,..,..,..,..,..,..,63893
Food Prices for Nutrition 2.0,FPN 2.0,Bermuda,BMU,2021,YR2021,..,..,3.395,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.031,..,..,..,..,..,..,..,..,..,63867
Food Prices for Nutrition 2.0,FPN 2.0,Bhutan,BTN,2017,YR2017,1.047,2.802,4.383,4.19,1.122,0.94,0.54,1.191,0.427,0.164,0.256,0.214,0.123,0.272,0.097,0.037,2.08,1.74,2.21,0.79,0.3,0.935,2.502,3.913,0.18,0.481,0.753,0.7,26.2,51.2,0,0.2,0.4,756121
